Value of pay,Value of pay
-1,0.1169
-10,0.0009
-100,5e-05
-1000,0.00015
-10015,5e-05
-101875,5e-05
"-1041,66",5e-05
"-10514,58",5e-05
"-107174,84",5e-05
"-10742,02",5e-05
"-1080,63",0.0001
-11,0.00055
-1125,5e-05
-11250,0.0001
"-1145,84",5e-05
"-11483,86",5e-05
"-1168,75",5e-05
-1175,5e-05
-12,0.00055
"-12225,67",5e-05
-125,5e-05
-1250,0.0006
-12500,5e-05
"-12600,38",5e-05
-13,0.00065
"-1333,33",5e-05
"-13413,4",5e-05
"-1348,75",5e-05
-1375,0.00015
"-138291,23",5e-05
-14,0.00015
-1400,5e-05
"-14283,33",5e-05
"-14477,4",5e-05
"-1478,32",5e-05
-15,0.0003
-15000,0.0001
-15200,5e-05
"-1533,33",5e-05
-153625,5e-05
"-15377,33",5e-05
"-15403,57",5e-05
-155000,5e-05
"-15623,43",5e-05
"-15657,29",5e-05
"-1580,88",5e-05
-16,0.00035
-1625,5e-05
"-16420,17",5e-05
"-16468,47",5e-05
-16875,0.00015
"-1691,67",5e-05
-17,0.00015
"-17265,04",5e-05
"-1729,91",5e-05
-1750,5e-05
"-17715,76",5e-05
-18,5e-05
"-18193,44",5e-05
"-1833,34",5e-05
-18404,5e-05
"-1860,42",5e-05
-186465,5e-05
"-1893,13",0.0001
-19,0.00015
"-19,17",5e-05
"-194407,49",5e-05
-1960,5e-05
"-19614,16",5e-05
-197,5e-05
-2,0.0309
-20,0.0002
-2000,5e-05
"-2023,13",0.0001
"-2041,67",0.0001
"-2062,5",0.00015
"-208,34",5e-05
-20800,5e-05
-21,0.00025
"-21355,09",5e-05
"-2187,5",5e-05
"-219088,84",5e-05
"-21984,67",5e-05
"-22166,67",5e-05
"-22281,84",5e-05
-2250,5e-05
"-230104,88",5e-05
"-23526,12",5e-05
-2375,5e-05
"-23937,54",5e-05
-24000,5e-05
-240000,5e-05
"-2430,94",5e-05
"-2434,5",5e-05
"-24403,22",5e-05
"-245,03",5e-05
-24570,5e-05
"-247,5",5e-05
"-24879,6",5e-05
-25,5e-05
-2500,5e-05
-26,5e-05
-2625,5e-05
-26350,5e-05
"-2666,67",5e-05
"-2687,5",5e-05
-27,5e-05
"-2718,03",5e-05
-2750,5e-05
"-27577,88",5e-05
-28,5e-05
"-2812,5",5e-05
-29,5e-05
"-2916,67",5e-05
"-29166,67",5e-05
"-2922,29",0.00015
"-2922,51",5e-05
"-29482,97",5e-05
-3,0.01155
-3040,5e-05
"-3066,94",5e-05
-3125,0.0001
"-3129866,67",5e-05
"-3231,5",5e-05
-32550,5e-05
"-32787,7",5e-05
"-33,33",5e-05
"-3302,63",5e-05
-33155,5e-05
"-3382,46",5e-05
"-34975,35",5e-05
-3500,5e-05
"-35488,7",5e-05
-36,5e-05
"-3658,96",5e-05
-37,5e-05
-3750,0.0002
"-3750,01",5e-05
-37500,5e-05
"-38614,27",5e-05
"-3894,21",5e-05
-4,0.00635
-40,5e-05
"-40526,91",5e-05
"-4083,33",5e-05
-413,5e-05
"-41340,6",5e-05
"-416,67",5e-05
"-42361,88",5e-05
"-43169,64",5e-05
"-4337,22",5e-05
"-43451,8",5e-05
"-4366,67",5e-05
-44000,5e-05
-45,0.0001
-4500,5e-05
-46,5e-05
"-4670,22",5e-05
-4750,0.0001
"-48356,65",5e-05
"-4844,32",5e-05
"-4870,5",5e-05
"-4961,98",5e-05
-5,0.004
-500,0.00025
-5000,5e-05
"-50171,38",5e-05
"-5133,33",5e-05
"-5138,07",5e-05
"-52,08",5e-05
"-5208,67",5e-05
"-5224,25",5e-05
"-52826,38",5e-05
-53,0.0001
"-5328,75",5e-05
"-546839,7",5e-05
-55,5e-05
"-56,67",5e-05
-5625,5e-05
"-5644,4",5e-05
"-5742,19",5e-05
"-59200,46",5e-05
-6,0.0025
-600,5e-05
"-606,94",5e-05
"-612,5",0.0006
-6125,5e-05
"-614,08",5e-05
"-6179,17",5e-05
"-618,65",5e-05
"-6181,5",5e-05
-62,5e-05
-625,0.00015
"-6483,33",5e-05
"-65333,33",5e-05
"-656,39",5e-05
"-65842,68",5e-05
"-666,67",0.0002
"-6666,67",5e-05
-66950,5e-05
"-674,38",0.00205
-6750,5e-05
"-6752,51",5e-05
-69,5e-05
-7,0.00165
"-7133,62",5e-05
"-7271,88",5e-05
"-729,17",0.0001
-75,5e-05
-750,0.0001
-7500,5e-05
-76800,5e-05
"-7792,53",5e-05
-8,0.0012
-800,5e-05
-8000,5e-05
"-80816,62",5e-05
-8525,5e-05
-86,5e-05
-86250,5e-05
-88,5e-05
-8975,5e-05
"-8996,23",5e-05
-9,0.001
-9000,5e-05
"-928,67",5e-05
"-9348,55",5e-05
-94,5e-05
"-94011,64",5e-05
"-9505,44",5e-05
-9600,5e-05
"-962,5",5e-05
"-9702,12",5e-05
"-97909,38",5e-05
"-9903,23",5e-05
0,0.0001
1,0.6499
10,0.00135
1000,0.001
10000,0.00015
"100062,18",5e-05
"1016,95",0.0001
"10171,52",5e-05
"10174,05",5e-05
10215,5e-05
"10219,53",5e-05
10250,5e-05
"1026,46",5e-05
"1041,25",5e-05
"10455,69",5e-05
"104986,11",5e-05
105000,5e-05
10750,5e-05
10790,5e-05
"1080,63",0.00015
"10856,62",5e-05
11,0.00095
1100,0.0001
"1146,44",0.0001
11500,5e-05
"11607,54",5e-05
1162500,5e-05
"1166,67",5e-05
"11800,82",5e-05
"1186,44",5e-05
"119,17",5e-05
"119166,67",5e-05
12,0.00085
12000,5e-05
"12018,75",5e-05
"12067,3",5e-05
"1209,5",5e-05
"1213,88",0.0001
"12199,57",5e-05
1225,0.0009
12350,5e-05
"12427,5",5e-05
"12464,61",5e-05
1250,0.0013
12500,5e-05
"12508,72",5e-05
"1271,19",0.00015
1275,5e-05
"12835,17",5e-05
"12893,47",5e-05
13,0.0004
"13116,07",5e-05
13125,5e-05
"133105,71",5e-05
13350,5e-05
"1347,84",5e-05
"1348,75",0.0023
"135593,22",5e-05
"137412,63",5e-05
"138305,08",5e-05
"13927,65",5e-05
14,0.0002
"14100,57",5e-05
"14102,84",5e-05
"1428,03",5e-05
"1458,35",5e-05
"1465,62",5e-05
"1468,21",5e-05
"14702,03",5e-05
14750,5e-05
148350,5e-05
15,0.00045
1500,0.00015
15000,0.0001
"15026,22",5e-05
"1512,5",5e-05
1536840,5e-05
"15494,4",5e-05
"15623,43",5e-05
"15818,47",5e-05
16,0.0001
160000,5e-05
"1610,17",5e-05
162750,5e-05
16500,5e-05
"1662,6",5e-05
"1666,67",5e-05
"16666,67",5e-05
"1670,13",5e-05
17,0.00025
1700,5e-05
"1708,72",5e-05
"17180,82",5e-05
"17183,71",5e-05
"17386,03",5e-05
"1744,68",5e-05
"17487,03",5e-05
1750,0.00045
"17536,3",5e-05
"17550,92",5e-05
"1764,72",5e-05
"176819,5",5e-05
"1779,66",0.0002
18,0.00025
18000,0.0001
"1805,57",5e-05
"1808,92",5e-05
"1816,02",5e-05
"18200,53",5e-05
"1833,34",5e-05
"1834,25",5e-05
"18379,06",5e-05
"18427,03",5e-05
"185263,54",5e-05
19,0.0001
"1906,78",0.0001
"1923,21",5e-05
"19322,92",5e-05
"19537,78",5e-05
1960,5e-05
2,0.07155
20,0.0001
"20,83",5e-05
2000,0.00075
20000,0.00015
"20226,19",5e-05
"2033,9",0.00025
"2041,67",0.00035
"20535,83",5e-05
"2062,5",0.0001
20625,5e-05
"2072,29",5e-05
"2073,9",5e-05
"208,34",0.00015
21,5e-05
2100,5e-05
2125,5e-05
"21302,77",5e-05
"2161,25",0.00045
"21726,11",5e-05
22,0.00015
"22033,33",5e-05
"22266,67",5e-05
"22427,51",5e-05
"225,5",5e-05
2250,0.00025
"2262,34",5e-05
"2281,56",5e-05
"2290,96",5e-05
23,0.0002
"2333,33",5e-05
"23333,33",5e-05
"2371,88",5e-05
"2377,5",5e-05
"23937,54",5e-05
"23987,5",5e-05
24,0.00025
24000,0.00015
24160,5e-05
"2429,59",5e-05
24375,5e-05
"2442,57",5e-05
"247,5",5e-05
25,5e-05
2500,0.00095
25000,0.0001
25340,5e-05
"2536,69",5e-05
"2566,67",5e-05
"26181,51",5e-05
"2646,66",5e-05
"2664,38",5e-05
"2666,68",5e-05
"26668,75",5e-05
"2673,22",5e-05
27,5e-05
27000,5e-05
"27422,67",5e-05
2750,0.0002
"27673,07",5e-05
"277333,33",5e-05
28,5e-05
2800,5e-05
2815,5e-05
"2829,73",5e-05
"2842,55",5e-05
"2858,33",5e-05
29,5e-05
2900,5e-05
"2903,25",5e-05
2915,5e-05
"2916,67",0.0001
"29353,12",5e-05
"2941,94",5e-05
"296,61",5e-05
"29739,83",5e-05
"2992,03",5e-05
3,0.0198
30,5e-05
3000,0.0001
300000,5e-05
"3015,78",5e-05
"3050,85",5e-05
"30508,47",5e-05
31,5e-05
3100,5e-05
31000,5e-05
"310591,2",5e-05
"312,5",5e-05
3125,0.00025
"3146,19",5e-05
"3160,79",5e-05
"3177,97",0.00015
"31779,66",5e-05
"3182,08",5e-05
"3182,5",5e-05
"3220,34",5e-05
"3241,88",5e-05
33,5e-05
3300,5e-05
"33186,67",5e-05
"3333,24",5e-05
"3333,33",0.0001
"3333,34",5e-05
"33341,05",5e-05
"3337,5",5e-05
"3344,14",5e-05
3375,5e-05
"3389,83",0.00015
34,0.0001
"348,54",5e-05
"34951,27",5e-05
35,5e-05
3500,0.0001
"353,87",5e-05
"3541,67",5e-05
"3559,32",0.0001
"3583,33",5e-05
360,5e-05
"3627,04",5e-05
3640,5e-05
"3642,58",5e-05
"3666,67",0.0001
"37362,29",5e-05
"375,33",5e-05
3750,0.0002
"3764,45",5e-05
"3786,25",0.0001
"3813,33",5e-05
"3842,72",5e-05
3850,5e-05
38750,5e-05
"3896,43",5e-05
39,0.0001
390,5e-05
"3975,08",5e-05
4,0.0094
4000,0.0002
4004,5e-05
"40311,51",5e-05
"4067,8",5e-05
"4102,34",5e-05
4125,0.00015
"416,67",0.00015
"418,75",5e-05
"4287,5",5e-05
43,5e-05
4375,5e-05
"4406,78",5e-05
"4479,62",5e-05
"45458,01",5e-05
"460116,24",5e-05
"4616,95",5e-05
"46243,62",5e-05
4650,5e-05
"4660,8",5e-05
"4666,67",5e-05
"4687,5",5e-05
47,5e-05
"47,37",5e-05
"4743,54",5e-05
"4783,8",5e-05
"48610,17",5e-05
495,0.00015
"4960,82",5e-05
"4985,13",5e-05
5,0.0053
500,0.0007
5000,0.0002
50000,0.0001
"50065,01",5e-05
"5084,75",5e-05
"5089,33",5e-05
51,5e-05
"5135,64",5e-05
5175,5e-05
5204,5e-05
52500,5e-05
"5287,57",5e-05
53125,5e-05
"53499,12",5e-05
"5364,88",5e-05
"5372,88",5e-05
"5375,33",5e-05
550,0.0006
"5567,5",5e-05
"55875,22",5e-05
"56,67",5e-05
57,0.0001
"57414,73",5e-05
57750,5e-05
"5781,33",5e-05
58,5e-05
"5833,33",0.00015
"5844,58",5e-05
"590,35",5e-05
"5932,2",0.00035
"5993,77",5e-05
6,0.0032
60000,5e-05
"606,94",5e-05
"607,5",5e-05
6075,5e-05
"612,5",0.00065
"61342,95",5e-05
"6184,9",5e-05
"6204,09",5e-05
"621,22",5e-05
"6237,8",5e-05
"62498,4",5e-05
625,0.0001
6250,0.0002
"635,59",0.00015
"6355,93",5e-05
"6361,02",5e-05
"6512,05",5e-05
66,5e-05
"66,67",5e-05
6600,5e-05
"666,67",0.0001
"66668,43",5e-05
"674,38",0.00155
6750,5e-05
"6881,66",5e-05
"69033,79",5e-05
7,0.0018
"7083,33",5e-05
71,5e-05
7100,5e-05
"711,86",5e-05
"7203,39",5e-05
"722,75",5e-05
"725,42",5e-05
73,5e-05
"732203,39",5e-05
735,0.0001
7500,5e-05
7525,5e-05
"7572,5",5e-05
"7725,48",5e-05
"7864,9",5e-05
"79952,54",5e-05
8,0.00165
"8024,35",5e-05
"809,25",0.0001
"8134,58",5e-05
"8135,41",5e-05
"8135,59",5e-05
"82,5",5e-05
"8217,78",5e-05
"8240,43",5e-05
"833333,34",5e-05
"8424,16",5e-05
"8454,96",5e-05
"8458,8",5e-05
8500,5e-05
"85302,24",5e-05
"85538,36",5e-05
"8618,46",5e-05
8625,0.0001
8750,0.00015
"87587,5",5e-05
"8850,4",5e-05
"8867,33",5e-05
"8987,5",5e-05
9,0.0012
"918,75",5e-05
"9214,83",5e-05
"9243,07",5e-05
"9295,75",5e-05
"93500,74",5e-05
"937,5",5e-05
"94,39",5e-05
"9481,88",5e-05
"9539,34",5e-05
"962,5",5e-05
"97135,98",5e-05
9750,5e-05
"9817,25",5e-05
"9942,37",5e-05
"998,33",5e-05
